Name,URL,Status,Final Score,UI Score,UX Score,Bugs Score,Features Score
"SpotterLavandesn","https://spotter.lavandesn.com/","complete",3.6,3,1,10,2
"TripsFrontend","https://trips-frontend-dusky.vercel.app","complete",2.7,2,1,8,N/A
"EldClient","https://eld-client.onrender.com","complete",2.6,2,N/A,6,4
"EldLogApp","https://eld-log-app-git-main-mert-gokhan-donmezs-projects.vercel.app/","complete",3.5,3,2,10,N/A
"TrackingUserApp","https://tracking-user-app.netlify.app/","complete",3.5,2,1,7,4
"FrontendNine","https://frontend-nine-phi-12.vercel.app/","complete",3.1,2,1,8,N/A
"TripappYdoc","https://tripapp-ydoc.onrender.com","complete",3.6,3,1,10,2
"TripplannerFrontend","https://tripplanner-frontend-production.up.railway.app/","complete",3,3,N/A,10,N/A
"SpotterAiLogbook","https://spotter-ai-logbook-react-frontend.vercel.app","complete",3.2,3,1,10,2
"DriverLogbook","https://driver-logbook.vercel.app/","complete",3.8,2,1,10,2
"TripPlanningLogging","https://trip-planning-logging.netlify.app/","complete",2.9,3,1,10,N/A
"EldLog","http://eldlog.duckdns.org","complete",3.3,2,1,9,N/A
"RouteELDTracker","https://route-eld-tracker-git-main-ilhams-projects-9cb20472.vercel.app/","complete",4.5,2,2,10,N/A
"TrajectSpotter","https://trajectspotterfrontend.onrender.com","complete",4.1,3,1,10,N/A
"EldFrontendCobt","https://eld-frontend-cobt.vercel.app/","complete",3.3,2,2,10,N/A
"TripplannerMu","https://tripplanner-mu.vercel.app/","complete",3.6,3,1,10,2
"TripLogger","https://trip-logger-jet.vercel.app","complete",2.5,1,1,8,N/A
"EldTripPlanner","https://eld-trip-planner-frontend.vercel.app/","complete",2.8,2,1,9,2
"SpotterFront","https://spotter-front-git-master-pbnjaays-projects.vercel.app/","complete",3.5,3,2,10,N/A
"TrackDrivers","https://track-drivers.vercel.app/","complete",3.5,3,1,10,4
"TruckLogbook","https://truck-logbook.vercel.app/","complete",2.9,2,1,8,2
"TripPlannerFrontend","https://trip-planner-frontend-tau.vercel.app","complete",3.4,2,1,10,2
"EldClientVercel","https://eld-client.vercel.app","complete",2.8,2,N/A,8,N/A
"WeHaulFrontend","https://we-haul-frontend.vercel.app/trips","complete",2.4,2,N/A,8,N/A
"EldGenerator","https://eld-generator.netlify.app","complete",3.8,2,1,10,2
"TripPlannerYphs","https://trip-planner-yphs.onrender.com/","complete",2.4,3,N/A,9,N/A
"EldFrontendSand","https://eld-frontend-sand.vercel.app/","complete",3.3,3,1,10,N/A
"EldTripTracker","https://eld-trip-tracker.vercel.app/","complete",3.8,3,2,10,2
"EldTripPlannerApp","https://eld-trip-planner.vercel.app/","complete",3.3,2,1,8,4
"TripPlannerAppGray","https://trip-planner-app-gray.vercel.app/","complete",2.6,3,N/A,8,N/A
